"id","accident_situation","base_fault_explanation","case_code","legal_reference","modifier_explanation","precedent","usage_note"
14,"⊙신호기가 있는 교차로에서 적색신호에 교차로 및 횡단보도를 직진 또는 좌회전으로 통과한 차량이 신호기가 있는 횡단보도 부근을 건너고 있던 보행자를 충격한 사고이다. 보행자 신호가 녹색점멸인 경우에는 녹색신호와 동일하게 적용한다.","⊙횡단보도를 지나서 보행자를 충격하였더라도 횡단보도의 신호가 녹색일 때 차량은 횡단보도 신호를 위반한 것이므로 차량의 과실이 크지만 보행자도 차도를 횡단한 것이므로 보행자의 기본 과실비율을 10%로 정하였다. ⊙횡단보도 신호가 적색일 때에는 양쪽 모두 신호를 위반한 것이고 차량의 신호위반 과실이 더 중하다는 점을 감안하여 보행자의 기본 과실비율을 40%로 정하였다. 제2장. 자동차와 자동차(이륜차 포함)의 사고 제3장. 자동차와 자전거(농기계 포함)의 사고 목차","보14","NaN","NaN","NaN","NaN"
15,"NaN","NaN","보15","NaN","NaN","NaN","NaN"
16,"NaN","NaN","보16","NaN","NaN","NaN","NaN"
17,"NaN","NaN","보17","NaN","NaN","NaN","NaN"
18,"NaN","NaN","보18","NaN","NaN","NaN","NaN"
19,"⊙신호기가 있는 횡단보도 부근에서 횡단보도를 통과하려는 차량이 횡단보도 부근을 건너고 있던 보행자를 충격한 사고이다.","⊙교차로 통과 전의 사고이므로 차량의 신호는 고려대상이 아니고, 보행자신호가 녹색이 지만 보행자가 차량의 진행방향 쪽에서 횡단보도를 벗어나 횡단을 개시한 점을 고려하여 보14~보17 기준 녹색횡단 보행자 과실 10%와는 달리 보행자의 기본 과실비율을 20%로 정하였다. ⊙다만, 보행자신호 적색에 횡단을 하였다면 보행자의 과실이 중하므로 보행자의 기본 과실 비율을 50%로 정한다. 제2장. 자동차와 자동차(이륜차 포함)의 사고 제3장. 자동차와 자전거(농기계 포함)의 사고 목차","보19","NaN","NaN","NaN","NaN"
20,"NaN","NaN","보20","NaN","NaN","NaN","NaN"
21,"NaN","NaN","보21","NaN","NaN","NaN","NaN"
22,"⊙신호등이 없는 교차로에서 진행(직진, 우회전, 좌회전 포함) 중인 차량이 교차로 내부나 그 부근의 도로를 횡단하는 보행자를 충격한 사고이다. ⊙사고도로에 보·차도 구분이나 중앙선 설치 여부에 관계없이 본 기준을 적용한다.","⊙도로교통법 제27조 제3항에 따라 차량은 신호등이 없는 교차로나 그 부근의 도로를 횡단 하는 보행자를 보호할 의무가 있으며, ⊙보행자가 횡단한 도로 폭과 차량이 통과하는 도로 폭을 감안하여 보행자가 횡단하는 도로 폭이 클수록 주의의무가 크므로 도로 폭이 좁을 때는 10%, 넓을 때는 30%, 차량이 통과하는 도로 폭과 같을 때는 20%를 각각 보행자의 기본 과실비율로 정하였다. 제2장. 자동차와 자동차(이륜차 포함)의 사고 제3장. 자동차와 자전거(농기계 포함)의 사고 목차","보22","NaN","NaN","NaN","NaN"
23,"⊙차량이 통상의 단일로(직선로 또는 곡선로)에서 도로를 횡단하고 있던 보행자를 충격한 사고이다.","⊙보행자가 도로를 횡단할 때 부주의한 과실이 있지만, 차량은 도로교통법 제27조 제5항에 따라 보행자가 횡단보도가 설치되어 있지 않은 도로를 안전하게 횡단할 수 있도록 주의 하여야 하므로 보행자의 기본 과실비율을 20%로 정하였다.","보23","NaN","① 간선도로의 경우에는 운전자에게 보행자횡단의 예견가능성이 적으므로 보행자의 과실을 10%까지 가산할 수 있다. ② 보·차도의 구분이 있고 표지 등에 의해 횡단금지라는 것을 쉽게 인식할 수 있는 것을 전제로 보행자의 과실을 가산하며, 횡단을 금지하는 안전표지만 있는 경우에는 10%까지, 가드레일 이나 펜스 등의 횡단금지시설이 설치되어 있는 경우에는 20%까지 가산할 수 있다. 다만, 제2장. 자동차와 자동차(이륜차 포함)의 사고 제3장. 자동차와 자전거(농기계 포함)의 사고 목차","NaN","NaN"
24,"NaN","NaN","보24","NaN","NaN","NaN","NaN"
25,"NaN","NaN","보25","NaN","NaN","NaN","NaN"
26,"⊙보24 보도와 차도의 구분이 있는 도로에서 차도를 진행하는 차량이 “차도가 아닌 장소”로 진출 또는 “차도가 아닌 장소”에서 차도로 진입하다가 보도 위를 걷고 있는 보행자를 충격한 사고이다. ⊙보25 보도와 차도의 구분이 있는 도로에서 차도를 진행하는 차량이 도로공사 등 부득이한 사유로 도로교통법 제8조 제1항에 따라 차도를 통행하는 보행자를 충격한 사고이다. ⊙보26 보도와 차도의 구분이 있는 도로에서 차도를 진행하거나 “차도가 아닌 장소”로 진출 하는 차량이 도로교통법 제8조 제1항 상의 부득이한 사유가 없음에도 차도측단 또는 차도 측단 이외의 차도를 통행하는 보행자를 충격한 사고이다. 여기서 차도측단이란 보·차도 경계선으로부터 1ｍ 이내의 거리에 있는 차도의 부분을 말한다.","⊙보24 차량이 도로교통법 제8조 제1항에 따라 정상적으로 보도를 통행하고 있는 보행자를 충돌한 사고이므로 차량의 일방과실로 정하였다. 제2장. 자동차와 자동차(이륜차 포함)의 사고 제3장. 자동차와 자전거(농기계 포함)의 사고 목차","보26","NaN","NaN","NaN","NaN"
27,"NaN","NaN","보28","NaN","NaN","NaN","NaN"
28,"⊙도로교통법 제68조 제3항 제1호 내지 제3호에 위반하여 도로에서 술에 취해 갈팡질팡 하는 행위, 교통에 방해되는 방법으로 눕거나 앉거나 서 있는 행위, 교통이 빈번한 도로 에서 놀이를 하는 행위를 하는 사람을 차량이 충격한 사고이다.","⊙도로에 누워 있는 자(음주자 및 노상유희자 포함)의 경우 주간과 야간을 구분할 필요없이 차량의 예견 및 회피가능성이 적어 보행자의 기본 과실비율을 40%로 정하였다.","보30","NaN","① 사고가 야간에 발생하였거나 차량에게 기타 시야장애가 있었던 경우 차량의 주의의무가 경감되므로 보행자의 과실을 20%까지 가산할 수 있다. ② 자동차가 주·정차 후 출발할 때에는 도로에 누워있는 자를 발견하기 용이하므로 보행자의 과실을 10%까지 감산할 수 있다. 제2장. 자동차와 자동차(이륜차 포함)의 사고 제3장. 자동차와 자전거(농기계 포함)의 사고 목차","NaN","NaN"
29,"NaN","NaN","보31","NaN","NaN","NaN","NaN"
30,"NaN","NaN","보32","NaN","NaN","NaN","NaN"
31,"⊙횡단보도에서 이륜차 운전자가 이륜차를 운전하여 횡단보도를 건너다가 횡단보도를 건너고 있던 보행자를 충격한 사고이다.","⊙도로교통법 제13조 제5항에 따라 이륜차는 횡단보도를 따라 진행할 수 없으므로 이륜차의 일방과실로 정하였다.","보33","NaN","① 이륜차와 보행자가 서로 반대편에서 횡단보도를 건너는 경우에는 보행자 역시 이륜차의 동태를 확인할 수 있으므로 보행자의 과실을 5%까지 가산할 수 있다. ② ‘이륜차의 현저한 과실’ 및 ‘이륜차의 중대한 과실’ 해당 여부는 이 장의 3. 수정요소 해설에 따르며, 경합시 후자를 적용하고 중복적용하지 아니한다. 제2장. 자동차와 자동차(이륜차 포함)의 사고 제3장. 자동차와 자전거(농기계 포함)의 사고 목차","NaN","NaN"
32,"⊙아파트 단지 내, 공장 등 산업단지 내 및 군부대 내 등 도로교통법 제2조 제1호 규정의 도로 외의 장소에서 진행하던 차량이 전방에서 횡단 중인 보행자를 충격한 사고이다.","⊙도로교통법 제27조 제6항에 따라 ‘도로 외의 곳’에서 운전자의 서행 및 일시정지의무가 있으므로, 이를 고려하여 보행자의 기본 과실비율을 0%로 정하였다.","보34","NaN","① 보행자가 인라인스케이트나 퀵보드 등을 착용한 상태로 도로 외 장소에서 차량의 전방을 횡단하는 경우에는 차량이 전방주시의무를 준수하더라도 보행자를 피하는데 어려움이 있으므로 이를 보행자의 중대한 과실로 보고 사고발생 경위 등을 감안하여 보행자의 과실을 10%~20%까지 가산할 수 있다. 제2장. 자동차와 자동차(이륜차 포함)의 사고 제3장. 자동차와 자전거(농기계 포함)의 사고 목차","NaN","NaN"
33,"NaN","NaN","보35","NaN","NaN","NaN","NaN"
34,"NaN","NaN","보36","NaN","NaN","NaN","NaN"
35,"⊙신호기에 의해 교통정리가 이루어지고 있는 교차로에서 서로 다른 도로를 이용하여 녹색 신호에 교차로에 진입하여 직진 중인 A차량과 적색신호에 교차로에 진입하여 직진 중인 B차량이 충돌한 사고이다. 제3장. 자동차와 자전거(농기계 포함)의 사고 제1장. 자동차와 보행자의 사고 목차","NaN","차1-1","NaN","NaN","NaN","NaN"
36,"⊙신호기에 의해 교통정리가 이루어지고 있는 교차로에서 서로 다른 방향을 이용하여 녹색 또는 황색신호에 교차로에 진입한 후 신호가 바뀔 때까지 아직 교차로를 벗어나지 못한 A차량과 녹색신호에 교차로에 진입하여 직진 중인 B차량이 충돌한 사고이다.","⊙(가) A차량이 녹색신호에 정상적으로 선진입하였고, 신호변경시까지 교차로를 미처 벗어 나지 못한 상황이므로, 교차로에 후진입하는 B차량은 이러한 상황을 충분히 인식할 수 있었다는 점을 감안하여 양 차량의 기본 과실비율을 30:70으로 정한다. ⊙(나) A차량이 황색신호에 진입하여 신호위반을 하였다는 점에서 과실이 매우 중하다고 할 것이지만, 교차로에 후진입하는 B차량 역시 전방 좌우에서 이미 교차로에 진입하여 진행 중인 차량이 있는지 여부를 살펴보고 그러한 차량이 있는 경우 그 동태를 살피면서 서행하는 제3장. 자동차와 자전거(농기계 포함)의 사고 제1장. 자동차와 보행자의 사고 목차","차1-2","NaN","NaN","NaN","NaN"
37,"⊙신호기에 의해 교통정리가 이루어지고 있는 교차로에서 서로 다른 방향을 이용하여 황색 신호에 교차로에 진입하여 직진 중인 A차량과 적색신호에 교차로에 진입하여 직진 중인 B차량이 충돌한 사고이다.","⊙양 차량 모두 신호위반에 해당하지만, 적색신호에 진입한 B차량의 과실이 더 중하므로 양 차량의 기본 과실비율을 30:70으로 정한다. 제3장. 자동차와 자전거(농기계 포함)의 사고 제1장. 자동차와 보행자의 사고 목차","차1-3","NaN","NaN","NaN","NaN"
38,"⊙신호기에 의해 교통정리가 이루어지고 있는 교차로에서 서로 다른 방향을 이용하여 적색 신호에 교차로에 진입하여 직진 중인 A차량과 적색신호에 교차로에 진입하여 직진 중인 B차량이 충돌한 사고이다.","⊙도로교통법 제5조에 따라 모든 차량은 신호를 준수하여야 하나, 양 차량 모두 적색신호에 교차로에 진입하여 신호위반을 하였으므로 양 차량의 기본 과실비율을 동등하게 50:50 으로 정한다.","차1-4","NaN","⊙제3편 제2장 3. 수정요소의 해설 부분을 참조한다. 제3장. 자동차와 자전거(농기계 포함)의 사고 제1장. 자동차와 보행자의 사고 목차","NaN","NaN"
39,"NaN","⊙도로교통법은 적색등화가 점멸하는 신호등이 설치된 도로에서 교차로에 진입하려는 차량은 교차로 진입 전 일시정지 한 후 다른 교통에 주의하여 진행할 수 있다고 규정하여 일시정지 및 진로양보의무를 규정하고 있고 황색등화가 점멸하는 신호등이 설치된 도로에서 진행하는 차량은 다른 교통 또는 안전표지의 표시에 주의하면서 진행할 수 있다고 규정하고 있다. 따라서 적색점멸신호 도로에서 직진하는 A차량은 교차로 진입 전 일시정지하여 교차로에 접근하고 있는 다른 차량에게 진로를 양보할 주의의무를 부담하므로 A차량의 주의의무 위반 정도를 보다 중대하게 평가하여 기본과실을 70:30으로 정하였다.","차1-5","NaN","⊙교차로에 명백히 선진입한 차량의 경우 과실을 감산할 수 있다. 제3장. 자동차와 자전거(농기계 포함)의 사고 제1장. 자동차와 보행자의 사고 목차","NaN","NaN"
40,"⊙신호기에 의해 교통정리가 이루어지고 있는 교차로에서 적색신호에 직진하는 A차량과 맞은편 방향에서 녹색좌회전 화살표 신호에 좌회전하는 B차량이 충돌한 사고이다.","⊙신호기가 있는 교차로에서 신호는 양 차량 운전자가 신뢰하는 것으로, B차량은 A차량이 적색신호를 위반하여 직진할 것을 예상하고 주의해야 할 이유가 없으므로 A차량의 일방 과실로 정한다.","차2-1","NaN","⊙제3편 제2장 3. 수정요소의 해설 부분을 참조한다. 제3장. 자동차와 자전거(농기계 포함)의 사고 제1장. 자동차와 보행자의 사고 목차","NaN","NaN"
41,"⊙신호기에 의해 교통정리가 이루어지고 있는 교차로에서 녹색신호에 직진하는 A차량과 맞은편 방향에서 녹색신호에 좌회전(비보호 좌회전이 아님) 또는 적색신호에 좌회전하는 좌회전 신호위반 B차량이 충돌한 사고이다.","⊙신호기가 있는 교차로에서 신호는 양 차량 운전자가 신뢰하는 것으로, A차량은 B차량이 좌회전 화살표 신호가 아닌 녹색이나 적색에 신호를 위반하여 좌회전할 것을 예상하고 주의해야 할 이유가 없으므로 B차량의 일방 과실비율로 정한다.","차2-2","NaN","⊙제3편 제2장 3. 수정요소의 해설 부분을 참조한다. 제3장. 자동차와 자전거(농기계 포함)의 사고 제1장. 자동차와 보행자의 사고 목차","NaN","NaN"
42,"⊙신호기에 의해 교통정리가 이루어지고 있는 교차로에서 황색신호에 교차로에 진입하여 직진 중인 A차량과 맞은편 주행방향에서 녹색직진신호에 진입하여 황색신호에 좌회전하는 B차량이 충돌한 사고이다.","⊙양 차량 모두 신호위반의 잘못이 있지만, A차량은 황색신호에 교차로에 진입하였고 B차량은 좌회전이 금지된 녹색직진신호에 좌회전 진입한 점, A차량이 직진이라는 점에서 좌회전차량인 B차량보다 과실의 정도가 적다고 볼 수 있으므로 양 차량의 기본 과실비율을 40:60으로 정한다.","차2-3","NaN","⊙제3편 제2장 3. 수정요소의 해설 부분을 참조한다. 제3장. 자동차와 자전거(농기계 포함)의 사고 제1장. 자동차와 보행자의 사고 목차","NaN","NaN"
43,"⊙신호기에 의해 교통정리가 이루어지고 있는 교차로에서 황색(적색)신호에 직진하는 A차량과 맞은편 주행방향에서 황색(적색)신호에 좌회전하는 B차량이 충돌한 사고이다.","⊙양 차량이 황색 또는 적색 신호에 진입한 경우에는 양 차량 모두 신호위반의 잘못이 있으므로 양 차량의 기본 과실비율을 50:50으로 정한다.","차2-4","NaN","⊙제3편 제2장 3. 수정요소의 해설 부분을 참조한다. 제3장. 자동차와 자전거(농기계 포함)의 사고 제1장. 자동차와 보행자의 사고 목차","NaN","NaN"
44,"⊙신호기에 의해 교통정리가 이루어지고 있는 교차로에서 녹색화살표(황색) 신호에 교차로에 진입하여 좌회전을 하였으나 신호가 바뀔 때까지 교차로를 벗어나지 못한 A차량과 맞은편 에서 녹색신호에 교차로에 진입하여 직진 중인 B차량이 충돌한 사고이다.","⊙(가) A차량이 녹색화살표 신호에 정상적으로 선진입하였고, 신호변경시까지 교차로를 미처 벗어나지 못한 상황이므로, 교차로에 후진입하는 B차량은 이러한 상황을 충분히 인식할 수 있었다는 점을 감안하여 양 차량의 기본 과실비율을 30:70으로 정한다. ⊙(나) A차량이 황색신호에 진입하여 신호위반을 하였다는 점에서 과실이 매우 중하다고 할 것이지만, 교차로에 후진입하는 B차량 역시 전방 좌우에서 이미 교차로에 진입하여 진행 중인 차량이 있는지 여부를 살펴보고 그러한 차량이 있는 경우 그 동태를 살피면서 서행 제3장. 자동차와 자전거(농기계 포함)의 사고 제1장. 자동차와 보행자의 사고 목차","차2-5","NaN","NaN","NaN","NaN"
45,"⊙신호기에 의해 교통정리가 이루어지고 좌회전차량 방향에 비보호좌회전 표지가 있는 교차로 에서, 녹색신호에 비보호좌회전을 하는 A차량과, 맞은편에서 녹색신호에 교차로에 직진 진입하여 직진 중인 B차량이 충돌한 사고이다.","⊙도로교통법 시행규칙 별표2가 2010.8.24. 개정되어 녹색 비보호 좌회전시 사고가 발생 하더라도 신호위반으로 처리되지 않고, 비보호좌회전을 하는 A차량으로서는 진행신호시 반대방면에서 오는 차량에 방해가 되지 아니하도록 주의하며 좌회전을 할 수 있다(도로 교통법 시행규칙 별표6 중 일련번호 329, 542 참조). ⊙B차량 진행 방향에서도 비보호좌회전 표지가 있는 교차로이면 맞은편에서도 비보호좌 회전을 할 수 있으리라고 전혀 예상하지 못할 바는 아니므로 비보호좌회전 교차로를 신호에 따라 직진으로 통과하는 B차량도 맞은편에서 미리 교차로에 진입하는 비보호좌회전 차량이 있는지를 살피면서 교차로를 통과하여야 한다. 제3장. 자동차와 자전거(농기계 포함)의 사고 제1장. 자동차와 보행자의 사고 목차","차2-6","NaN","NaN","NaN","NaN"
46,"⊙신호기에 의해 교통정리가 이루어지고 있는 교차로에서 적색신호에 직진하는 A차량과 교차로에서 녹색화살표 신호에 좌회전하는 B차량이 충돌한 사고이다.","⊙신호기가 있는 교차로에서 신호는 양 차량 운전자가 신뢰하는 것으로, B차량은 직진차량인 A차량이 신호를 위반할 것을 예상하고 주의해야 할 이유가 없으므로 A차량의 일방 과실로 정한다. 제3장. 자동차와 자전거(농기계 포함)의 사고 제1장. 자동차와 보행자의 사고 목차","차3-1","NaN","NaN","NaN","NaN"
47,"⊙신호기에 의해 교통정리가 이루어지고 있는 교차로에서 적색신호에 직진하는 A차량과 교차로에서 적색신호에 좌회전하는 B차량이 충돌한 사고이다.","⊙양 차량 모두 신호위반의 잘못이 있으므로 양 차량의 기본 과실비율을 50:50으로 정한다. 제3장. 자동차와 자전거(농기계 포함)의 사고 제1장. 자동차와 보행자의 사고 목차","차3-2","NaN","NaN","NaN","NaN"
48,"⊙신호기에 의해 교통정리가 이루어지고 있는 교차로에서 황색신호에 진입하여 직진 중인 A차량과 교차도로에서 적색신호에 좌회전하는 B차량이 충돌한 사고이다.","⊙양 차량 모두 신호위반에 해당하지만, 적색신호에 진입한 B차량의 과실이 더욱 크므로 황색신호에 직진 진입 차량과 적색신호에 좌회전 진입 차량의 기본 과실비율을 30:70으로 정한다.","차3-3","NaN","⊙제3편 제2장 3. 수정요소의 해설 부분을 참조한다. 제3장. 자동차와 자전거(농기계 포함)의 사고 제1장. 자동차와 보행자의 사고 목차","NaN","NaN"
49,"⊙신호기에 의해 교통정리가 이루어지고 있는 교차로에서 적색신호에 직진하는 A차량과 교차도로에서 황색신호에 진입하여 좌회전하는 B차량이 충돌한 사고이다.","⊙B차량은 황색신호에 진입하였지만 좌회전차량이라는 점을 감안하여 양 차량의 기본 과실 비율을 60:40으로 정하였다.","차3-4","NaN","⊙제3편 제2장 3. 수정요소의 해설 부분을 참조한다. 제3장. 자동차와 자전거(농기계 포함)의 사고 제1장. 자동차와 보행자의 사고 목차","NaN","NaN"
50,"⊙신호기에 의해 교통정리가 이루어지고 있는 교차로에서 녹색화살표(황색) 신호에 교차로에 진입하여 좌회전을 하였으나 아직 교차로를 벗어나지 못한 A차량과 녹색신호에 교차로에 진입하여 직진 중인 B차량이 충돌한 사고이다.","⊙(가) A차량이 녹색화살표 신호에 정상적으로 선진입하였고, 신호변경시까지 교차로를 미처 벗어나지 못한 상황임을 교차로에 후진입하는 B차량이 충분히 인식할 수 있었다는 점을 감안하여 양 차량의 기본 과실비율을 30:70으로 정한다. ⊙(나) A차량이 황색신호에 진입하여 신호위반을 하였다는 점에서 과실이 매우 중하다고 할 것이지만, 교차로에 후진입하는 B차량 역시 전방 좌우에서 이미 교차로에 진입하여 진행 중인 차량이 있는지 여부를 살펴보고 그러한 차량이 있는 경우 그 동태를 살피면서 서행하는 제3장. 자동차와 자전거(농기계 포함)의 사고 제1장. 자동차와 보행자의 사고 목차","차3-5","NaN","NaN","NaN","NaN"
51,"⊙신호기에 의해 교통정리가 이루어지고 있는 교차로에서 녹색신호에 직진하는 A차와 적색 신호에 좌회전하는 B차량이 충돌한 사고이다.","⊙신호기가 있는 교차로에서 적색신호에 좌회전을 한 것은 도로교통법 제5조의 신호에 따를 의무를 위반한 것이므로 이처럼 신호를 위반하여 좌회전한 B차량의 일방 과실비율로 정한다.","차3-6","⊙도로교통법 제5조(신호 또는 지시에 따를 의무) ① 도로를 통행하는 보행자, 차마 또는 노면전차의 운전자는 교통안전시설이 표시하는 신호 또는 지시와 다음 각 호의 어느 하나에 해당하는 사람이 하는 신호 또는 지시를 따라야 한다. 1. 교통정리를 하는 경찰공무원(의무경찰을 포함한다. 이하 같다) 및 제주특별자치도의 자치경찰 공무원(이하 “자치경찰공무원”이라 한다) 2. 경찰공무원(자치경찰공무원을 포함한다. 이하 같다) 을 보조하는 사람으로서 대통령령으로 정하는 사람(이하 “경찰보조자”라 한다) 제3장. 자동차와 자전거(농기계 포함)의 사고 제1장. 자동차와 보행자의 사고 목차","NaN","NaN","NaN"
52,"NaN","⊙도로교통법은 좌회전하는 차량은 직진하려는 다른 차가 있을 때에는 진로를 양보하여야 한다고 규정하고, 적색등화가 점멸하는 신호등이 설치된 도로에서 교차로에 진입하려는 차량은 교차로 진입 전 일시정지 한 후 다른 교통에 주의하여 진행할 수 있다고 규정하고 있으며 황색등화가 점멸하는 신호등이 설치된 도로에서 진행하는 차량은 다른 교통 또는 안전표지의 표시에 주의하면서 진행할 수 있다고 규정하고 있다. 따라서 일시정지 및 양보 의무가 부과된 적색점멸신호에 좌회전하려는 A차량은 교차로에 접근하고 있는 다른 차량 에게 진로를 양보할 높은 주의의무를 부담하므로 양 차량의 기본과실을 80:20으로 정하 였다. 제3장. 자동차와 자전거(농기계 포함)의 사고 제1장. 자동차와 보행자의 사고 목차","차3-7","NaN","NaN","NaN","NaN"
53,"NaN","⊙적색등화가 점멸하는 신호등이 설치된 도로에서 교차로에 진입하려는 A차량은 교차로 진입 전 일시정지하여 교차로에 접근하는 다른 차량에게 진로를 양보할 주의의무를 부담 하고 이 경우 황색등화가 점멸하는 신호등이 설치된 도로에서 진입하는 차량이 좌회전을 하고 있는 경우에도 A차량은 여전히 일시정지하여 진로를 양보할 주의의무를 부담한다고 할 것이어서 황색등화가 점멸하는 신호등이 설치된 도로에서 좌회전하기 위하여 진입 하는 B차량 보다 A차량의 과실을 무겁게 평가하여 양 차량의 기본과실을 60:40으로 정하였다. 제3장. 자동차와 자전거(농기계 포함)의 사고 제1장. 자동차와 보행자의 사고 목차","차3-8","NaN","NaN","NaN","NaN"
54,"⊙교차로에서 정상신호에 따라 좌회전하는 A차량과 맞은편에서 교차로 적색신호에 우회전 하는 B차량이 충돌한 사고이다.","⊙같은 방향의 차로를 향한 동시진로변경의 성격을 가지는 것이나 좌회전 차량은 좌회전 신호에 따라 진행하고 있어 통행우선권이 있고, 교차로 적색 신호에 우회전 차량은 신호에 따라 진행하는 차량의 교통을 방해하지 않으면서 우회전을 하여야 할 의무가 있다는 점을 감안하여 양 차량의 기본 과실비율을 20:80으로 정한다.","차4-1","NaN","① A가 정상적인 좌회전 궤도로 좌회전하지 않고 정상 궤도를 이탈하여 크게 회전(대좌회전) 하는 행위는 우회전 차량으로 하여금 회전반경을 예측하기 어렵게하여 사고위험을 가중하는 제3장. 자동차와 자전거(농기계 포함)의 사고 제1장. 자동차와 보행자의 사고 목차","NaN","NaN"
